TT  PID  AT  CT  IO_D  WT  RT  TRT
964   66    104   111    0   749   -1   860
964   95    151   113    0   700   -1   813
964   139    221   124    0   619   37   743
964   79    123   127    0   714   207   841
964   171    269   124    0   571   307   695
964   101    161   127    0   676   -1   803
964   33    55   138    0   771   707   909
964   216    343   126    0   495   -1   621
964   191    302   127    0   535   32   662
964   15    25   131    0   808   -1   939
964   244    307   285    0   372   350   657
965   43    71   99    0   795   489   894
977   211    336   52    0   589   486   641
986   84    130   47    0   809   344   856
1003   180    284   51    0   668   39   719
1025   68    107   43    0   875   870   918
1031   141    225   64    44   742   41   806
1031   250    976   55    0   0   -1   55
1031   231    367   143    0   521   404   664
1031   198    315   145    0   571   -1   716
1031   235    375   152    0   504   -1   656
1031   222    354   155    0   522   -1   677
1031   96    154   163    0   714   136   877
1031   170    266   166    0   599   513   765
1031   127    203   173    0   655   -1   828
1031   145    227   182    0   622   -1   804
1031   42    71   185    0   775   -1   960
1031   97    154   193    0   684   633   877
1031   227    360   186    0   485   -1   671
1031   194    306   207    0   518   497   725
1031   105    168   203    0   660   -1   863
1031   29    48   212    0   771   -1   983
1031   213    340   230    0   461   -1   691
1031   73    115   249    0   667   167   916
1031   23    42   263    0   726   -1   989
1031   17    30   273    0   728   -1   1001
1031   189    299   162    0   570   33   732
1031   209    334   206    0   491   -1   697
1031   203    324   299    0   408   -1   707
1031   133    216   202    0   613   -1   815
1031   236    378   205    0   448   417   653
1031   151    239   288    0   504   -1   792
1031   135    218   280    0   533   24   813
1031   134    218   64    11   749   17   813
1031   219    348   59    0   624   -1   683
1031   89    142   93    0   796   356   889
1031   51    84   92    0   855   -1   947
1031   41    68   112    0   851   -1   963
1031   72    114   130    0   787   -1   917
1031   154    246   179    0   606   -1   785
1031   210    334   221    0   476   -1   697
1031   224    357   286    64   388   47   674
1031   251    1000   31    0   0   -1   31
1031   245    333   67    0   631   631   698
1073   71    114   55    0   904   737   959
1123   31    52   118    0   953   516   1071
1147   128    206   89    0   852   96   941
1152   149    235   62    0   855   7   917
1174   77    120   65    0   989   226   1054
1190   214    341   51    35   798   676   849
1202   132    213   148    0   841   14   989
1210   206    329   141    0   740   421   881
1232   82    126   65    0   1041   853   1106
1260   229    364   58    0   838   838   896
1267   190    299   67    0   901   34   968
1319   218    347   59    0   913   913   972
1328   138    221   68    0   1039   29   1107
1333   113    177   91    0   1065   1065   1156
1359   253    1048   267    0   44   -1   311
1359   178    280   125    0   954   403   1079
1359   122    196   119    0   1044   -1   1163
1359   57    89   152    0   1118   -1   1270
1359   153    243   175    0   941   263   1116
1359   125    199   196    0   964   123   1160
1359   65    102   188    0   1069   -1   1257
1359   54    87   204    0   1068   53   1272
1359   169    266   191    0   902   -1   1093
1359   18    31   201    0   1127   275   1328
1359   111    175   217    0   967   636   1184
1359   53    87   239    0   1033   -1   1272
1359   75    116   273    0   970   222   1243
1359   246    340   284    0   735   691   1019
1387   50    83   89    0   1215   41   1304
1403   38    65   89    0   1249   51   1338
1440   91    147   107    0   1186   1186   1293
1485   62    96   126    6   1263   528   1389
1495   60    93   299    33   1103   763   1402
1541   69    110   99    0   1332   252   1431
1570   173    273   71    0   1226   937   1297
1596   49    81   105    0   1410   1410   1515
1626   10    19   93    0   1514   130   1607
1652   255    1363   278    0   11   -1   289
1652   25    45   106    0   1501   15   1607
1652   9    16   103    0   1533   1   1636
1652   152    242   136    0   1274   1132   1410
1652   100    158   150    0   1344   1120   1494
1652   63    98   191    0   1363   58   1554
1652   7    15   219    0   1418   1553   1637
1652   110    174   288    0   1190   1120   1478
1652   137    221   215    0   1216   1006   1431
1652   156    249   221    0   1182   922   1403
1652   27    46   235    0   1371   1256   1606
1652   158    250   242    0   1160   1060   1402
1652   13    22   260    0   1370   1416   1630
1652   248    660   282    0   710   699   992
1708   155    246   112    0   1350   1350   1462
1709   92    147   85    0   1477   1469   1562
1714   88    139   90    0   1485   856   1575
1910   196    311   125    0   1474   8   1599
1945   257    1694   229    0   22   -1   251
1945   252    1044   271    0   630   608   901
1952   78    122   102    0   1728   1728   1830
2030   12    22   121    0   1887   546   2008
2041   112    177   183    0   1681   1410   1864
2042   48    81   95    0   1866   1638   1961
2078   172    271   93    0   1714   1443   1807
2097   119    189   292    0   1616   18   1908
2117   86    136   100    0   1881   1622   1981
2215   37    65   120    28   2030   18   2150
2235   142    227   240    0   1768   960   2008
2235   140    222   291    0   1722   -1   2013
2235   259    2014   221    0   0   -1   221
2235   148    232   297    0   1706   -1   2003
2235   44    72   115    0   2048   1012   2163
2235   187    295   208    0   1732   35   1940
2235   35    60   269    50   1906   949   2175
2235   238    380   133    0   1722   693   1855
2235   136    220   118    0   1897   687   2015
2235   47    80   176    0   1979   1824   2155
2235   185    292   222    0   1721   36   1943
2235   201    322   248    0   1665   -1   1913
2235   254    1362   279    0   594   583   873
2243   30    49   112    48   2082   457   2194
2243   199    317   174    0   1752   398   1926
2282   98    156   88    0   2038   198   2126
2325   67    104   275    67   1946   194   2221
2419   144    227   275    0   1917   968   2192
2456   220    349   141    0   1966   350   2107
2504   261    2267   215    0   22   -1   237
2504   36    63   267    27   2174   1045   2441
2504   21    39   248    0   2217   -1   2465
2504   221    351   292    0   1861   860   2153
2504   85    133   231    0   2140   1070   2371
2504   215    342   299    0   1863   -1   2162
2504   256    1676   247    0   581   559   828
2508   130    210   140    0   2158   9   2298
2510   107    171   246    28   2093   874   2339
2579   208    331   190    0   2058   955   2248
2656   223    356   260    0   2040   1801   2300
2720   131    213   230    0   2277   966   2507
2726   143    227   165    0   2334   1906   2499
2831   102    162   241    0   2428   1422   2669
2848   263    2526   256    0   66   -1   322
2848   258    1946   278    0   624   558   902
3005   234    372   221    0   2412   791   2633
3054   20    37   234    0   2783   15   3017
3091   32    54   261    0   2776   2748   3037
3100   188    296   211    0   2593   35   2804
3107   265    2856   229    0   22   -1   251
3107   260    2245   237    0   625   603   862
3183   264    2850   235    0   98   -1   333
3183   174    276   290    66   2617   25   2907
3235   14    23   285    0   2927   2982   3212
3256   176    279   242    0   2735   540   2977
3359   109    174   209    81   2976   2253   3185
3411   266    3115   252    0   44   -1   296
3411   267    3140   227    0   44   -1   271
3411   262    2522   260    0   629   585   889
3451   40    68   223    0   3160   310   3383
3640   166    261   251    0   3128   2899   3379
3671   233    369   277    0   3025   1021   3302
3686   269    3634   45    0   7   -1   52
3686   270    3641   38    0   7   -1   45
3686   268    3619   59    0   8   1   67
3686   24    45   261    0   3380   341   3641
Processes: 270
Avg WT: 835.578,  Avg RT: 334.348, Avg TRT: 993.533
Migration %: RTF:2.96296% MaxW: 6.2963%
Work Steal % : 116.296%
Forked Process % : 11.8519%
Killed process % : 10.7407%

Processors: 7 [1 FCFS, 4 SJF, 1 RR, 1EDF]
Processors Load
P1=1.17202%, P2=1.01956%, P3=1.0997%, P4=1.04043%, P5=0.832047%, P6=N/A, P7=0.244917%, 
Processors Util
P1=94.6133%, P2=83.1307%, P3=86.9181%, P4=83.1645%, P5=67.8419%, P6=73.803%, P7=20.5892%, 
Avg Util: 72%
Percentage of processes completed before their expected deadline: 2.96296%
